project_id,ml_anomaly_risk,ml_prediction,ml_decision_score
136027.0,23.5,NORMAL,0.0947
136028.0,23.5,NORMAL,0.0947
136029.0,23.5,NORMAL,0.0947
136030.0,23.5,NORMAL,0.0947
136031.0,23.5,NORMAL,0.0947
136032.0,23.5,NORMAL,0.0947
136033.0,21.6,NORMAL,0.1036
136035.0,1.2,NORMAL,0.2013
136036.0,26.8,NORMAL,0.0787
136037.0,13.8,NORMAL,0.141
136038.0,36.3,NORMAL,0.0332
136039.0,25.4,NORMAL,0.0855
136041.0,48.7,ANOMALY,-0.0262
136042.0,32.6,NORMAL,0.051
136043.0,44.2,ANOMALY,-0.0047
136044.0,7.5,NORMAL,0.1715
136045.0,4.3,NORMAL,0.1866
136068.0,61.1,ANOMALY,-0.0858
136140.0,62.1,ANOMALY,-0.0904
136141.0,44.2,ANOMALY,-0.0046
136142.0,33.8,NORMAL,0.045
136143.0,22.7,NORMAL,0.0984
136144.0,22.5,NORMAL,0.0996
136145.0,40.6,NORMAL,0.0128
136146.0,18.3,NORMAL,0.1195
136147.0,49.6,ANOMALY,-0.0306
136148.0,16.5,NORMAL,0.1282
136156.0,7.7,NORMAL,0.1706
136159.0,3.7,NORMAL,0.1897
136161.0,3.7,NORMAL,0.1897
136162.0,3.7,NORMAL,0.1897
136163.0,4.5,NORMAL,0.1857
136164.0,3.7,NORMAL,0.1897
136165.0,3.7,NORMAL,0.1897
136166.0,3.8,NORMAL,0.1889
136185.0,18.9,NORMAL,0.1166
136186.0,7.9,NORMAL,0.1693
136187.0,10.3,NORMAL,0.1578
136188.0,11.2,NORMAL,0.1537
136189.0,9.1,NORMAL,0.1639
136190.0,5.3,NORMAL,0.1818
136191.0,6.6,NORMAL,0.1758
136192.0,6.5,NORMAL,0.1763
136193.0,13.7,NORMAL,0.1418
136194.0,5.0,NORMAL,0.1835
136195.0,9.8,NORMAL,0.1604
136196.0,13.2,NORMAL,0.1441
136197.0,4.5,NORMAL,0.1856
136198.0,11.2,NORMAL,0.1534
136202.0,9.7,NORMAL,0.1609
136203.0,6.6,NORMAL,0.1755
136204.0,11.7,NORMAL,0.1514
136205.0,10.8,NORMAL,0.1556
136217.0,3.7,NORMAL,0.1897
136218.0,3.7,NORMAL,0.1897
136219.0,3.7,NORMAL,0.1897
136220.0,3.8,NORMAL,0.1889
136221.0,3.8,NORMAL,0.1889
136222.0,3.8,NORMAL,0.1889
136223.0,5.1,NORMAL,0.1828
136224.0,4.8,NORMAL,0.1844
136225.0,4.6,NORMAL,0.185
136226.0,3.8,NORMAL,0.1889
